ReceptionTime,d2w
1537805223.43649,1102.3
1537805223.4625,1104.1
1537805223.48707,1105.6
1537805223.5109,1126
1537805223.53144,1107.7
1537805223.54735,1112.1
1537805223.56276,1113.7
1537805223.57834,1116.6
1537805223.59382,1119.2
1537805223.61,1118.8
1537805823.3636,1119.1
1537805823.42493,1138.8
1537805823.44909,1123
1537805823.46756,1126.1
1537805823.48306,1128.4
1537805823.49831,1130.1
1537805823.51337,1173.4
1537805823.52899,1132.3
1537805823.54509,1153.4
1537805823.56091,1214.4
1537806424.45264,1139.6
1537806424.47236,1163.5
1537806424.49034,1143.7
1537806424.50694,1164.2
1537806424.52456,1165.5
1537806424.54098,1204.5
1537806424.59325,1205.9
1537806424.61238,1206
1537806424.65067,1171.3
1537806424.66988,1171.2
1537807025.4635,1172.4
1537807025.50049,1193.5
1537807025.55022,1175.4
1537807025.56693,1156.5
1537807025.58428,1181.5
1537807025.5997,1160.7
1537807025.61735,1160.4
1537807025.63329,1161.4
1537807025.65003,1162.7
1537807025.68312,1165
1537807626.93928,1165.7
1537807626.95879,1165.9
1537807626.97702,1167.1
1537807626.99672,1167.5
1537807627.01328,1167.8
1537807627.03117,1168.3
1537807627.04673,1170.4
1537807627.06613,1171.3
1537807627.08553,1172.2
1537807627.10188,1173.1
1537808227.77469,1172.1
1537808227.79273,1172.3
1537808227.81243,1172
1537808227.83077,1172.3
1537808227.85165,1173.6
1537808227.86709,1172.2
1537808227.88342,1171.9
1537808227.89986,1172.2
1537808227.91643,1172.3
1537808227.94887,1173.8
1537808829.538,1175.3
1537808829.60199,1175.6
1537808829.64894,1175.7
1537808829.67426,1175.6
1537808829.69416,1175.9
1537808829.70957,1177.9
1537808829.72489,1178.9
1537808829.7401,1178.8
1537808829.75642,1178.7
1537808829.77175,1178.9
1537809429.38471,1197.4
1537809429.42712,1219.5
1537809429.44708,1181.2
1537809429.46554,1199.3
1537809429.48116,1180.4
1537809429.49787,1218.9
1537809429.51357,1180.4
1537809429.52947,1181.8
1537809429.54573,1182.5
1537809429.56131,1182.9
1537810029.65913,1204.6
1537810029.68456,1183.1
1537810029.7013,1185.2
1537810029.71972,1185.5
1537810029.73563,1187
1537810029.75116,1206.3
1537810029.76881,1187.4
1537810029.80217,1186.5
1537810029.81974,1186.9
1537810029.83571,1188.5
1537810630.48774,1188.3
1537810630.53979,1188.9
1537810630.55854,1188.8
1537810630.578,1188.3
1537810630.59577,1189
1537810630.61156,1190.6
1537810630.62709,1190.6
1537810630.64233,1191
1537810630.65751,1192.1
1537810630.67274,1191.5
1537811229.66729,1192.5
1537811229.68827,1193.4
1537811229.70837,1192.9
1537811229.73353,1195
1537811229.75696,1195
1537811229.77632,1195.8
1537811229.79578,1196.4
1537811229.81524,1195.2
1537811229.8347,1195.1
1537811229.85496,1194.6
1537811829.38776,1195
1537811829.40985,1197.1
1537811829.43239,1198.3
1537811829.45274,1198.7
1537811829.47271,1198.4
1537811829.49264,1197.4
1537811829.51243,1195.5
1537811829.53251,1195.8
1537811829.54864,1196.2
1537811829.56453,1196.6
1537812431.26011,1195.6
1537812431.29273,1196.7
1537812431.32522,1195.6
1537812431.35222,1196
1537812431.37106,1198.2
1537812431.38952,1196.3
1537812431.40732,1195.3
1537812431.42292,1195
1537812431.43878,1195
1537812431.45422,1197
1537813030.66412,1196.8
1537813030.747,1196.8
1537813030.8004,1196.2
1537813030.81835,1194
1537813030.83429,1191.6
1537813030.85057,1190.7
1537813030.88697,1188.9
1537813030.90371,1188.5
1537813030.92077,1187.8
1537813030.93798,1185.4
1537813630.85102,1184.5
1537813630.8816,1183.5
1537813630.91239,1181.5
1537813630.9431,1182.4
1537813630.96909,1179.5
1537813630.9861,1178.2
1537813631.00205,1177.7
1537813631.01725,1176.2
1537813631.03252,1176
1537813631.04804,1173.8
1537814232.29729,1173.5
1537814232.31721,1172.9
1537814232.33434,1169.4
1537814232.35278,1169.3
1537814232.36934,1168.7
1537814232.38527,1165.9
1537814232.40085,1166.3
1537814232.41614,1165.5
1537814232.43145,1163.8
1537814232.4483,1161.5
1537814833.18275,1159.3
1537814833.20349,1158.8
1537814833.22354,1159.5
1537814833.24242,1158
1537814833.26239,1156.5
1537814833.28201,1155.6
1537814833.30136,1153.7
1537814833.32142,1152.8
1537814833.34129,1152.5
1537814833.36237,1152.3
1537815433.65312,1152.3
1537815433.67281,1152.3
1537815433.69097,1151.7
1537815433.70816,1150.1
1537815433.72455,1148.9
1537815433.74127,1147.9
1537815433.76073,1147.1
1537815433.77972,1146.3
1537815433.79871,1146.1
1537815433.81791,1144.2
1537816036.35558,1143.5
1537816036.3825,1142.2
1537816036.4031,1142.9
1537816036.41946,1140.8
1537816036.4357,1140.5
1537816036.45338,1138.6
1537816036.47156,1136.5
1537816036.4873,1136.9
1537816036.50474,1136
1537816036.52037,1133.9
1537816635.68123,1133.9
1537816635.75037,1130.9
1537816635.77631,1130.3
1537816635.79941,1131.2
1537816635.81802,1129.7
1537816635.83551,1126.7
1537816635.85105,1125.7
1537816635.86661,1123.4
1537816635.88199,1122.6
1537816635.89812,1122.4
1537817237.03853,1119.7
1537817237.11613,1121.5
1537817237.13904,1118.6
1537817237.16012,1116.2
1537817237.18093,1113.7
1537817237.21586,1109.3
1537817237.23096,1108.2
1537817237.24605,1107.1
1537817237.26107,1104.5
1537817237.27623,1103.8
1537817837.63841,1102.6
1537817837.70941,1100.6
1537817837.73153,1097
1537817837.75358,1096.6
1537817837.77429,1096.3
1537817837.79487,1093
1537817837.81292,1090.4
1537817837.82919,1087.1
1537817837.84446,1085.7
1537817837.85971,1084.4
1537818439.49847,1080.7
1537818439.52127,1079.2
1537818439.5404,1076
1537818439.55852,1072.1
1537818439.57623,1069.8
1537818439.59384,1069.1
1537818439.60964,1066.4
1537818439.62534,1064.1
1537818439.64091,1061
1537818439.65663,1058.9
1537819040.85429,1055.8
1537819040.87335,1055.3
1537819040.88992,1054.9
1537819040.90773,1053.6
1537819040.92426,1050.2
1537819040.94229,1046
1537819040.96137,1042.2
1537819040.98032,1040.3
1537819040.99929,1040.8
1537819041.01822,1041.2
1537819641.57616,1038.9
1537819641.64523,1036.3
1537819641.6697,1032.7
1537819641.69243,1029.5
1537819641.73008,1028.5
1537819641.74603,1026.2
1537819641.76563,1025.9
1537819641.78251,1025.3
1537819641.80233,1020.4
1537819641.8195,1019
1537820243.19043,1017.8
1537820243.26531,1015.5
1537820243.29399,1013.5
1537820243.31904,1011.5
1537820243.34334,1008.1
1537820243.36311,1006.2
1537820243.37955,1005.9
1537820243.39584,1003.8
1537820243.41116,1002.3
1537820243.42633,1000.1
1537820843.33258,996.7
1537820843.38228,994.5
1537820843.40112,992.6
1537820843.41766,990.6
1537820843.43491,990
1537820843.46666,988.2
1537820843.48198,986.3
1537820843.49716,981.2
1537820843.51235,979
1537820843.52756,977.5
1537821443.68666,975.1
1537821443.75147,974.8
1537821443.77642,971
1537821443.80078,969
1537821443.83679,964.6
1537821443.85319,964.1
1537821443.87216,962.2
1537821443.88881,958.4
1537821443.90538,957.6
1537821443.92295,953.7
1537822045.05974,950.6
1537822045.07953,947.9
1537822045.09688,946.2
1537822045.11361,945.3
1537822045.13055,944.4
1537822045.14737,941.9
1537822045.16359,940.4
1537822045.17905,937.1
1537822045.19426,935.9
1537822045.20966,935.7
1537822645.29331,934
1537822645.3147,934
1537822645.33417,929.7
1537822645.35245,927.7
1537822645.36896,924.8
1537822645.38591,925.7
1537822645.4017,923.6
1537822645.41845,923.6
1537822645.43433,921.8
1537822645.44991,917.8
1537823245.9734,916.2
1537823246.05175,915.6
1537823246.07906,911.1
1537823246.10187,911
1537823246.11775,910.2
1537823246.13282,907.2
1537823246.1479,906.4
1537823246.16366,903.4
1537823246.17944,902.9
1537823246.19471,899.6
1537823845.75307,895.6
1537823845.77151,895
1537823845.78816,894.4
1537823845.80636,894.6
1537823845.82273,890.8
1537823845.83832,887.8
1537823845.85354,881.2
1537823845.8687,880.3
1537823845.88762,880.1
1537823845.90319,878.6
1537824447.51861,875.9
1537824447.59312,873.7
1537824447.62289,867.1
1537824447.64999,866.2
1537824447.67907,866.1
1537824447.69957,864.2
1537824447.71859,861.2
1537824447.73748,860.3
1537824447.77551,857.3
1537824447.79237,854.4
1537825650.37808,834.9
1537825650.39803,835.4
1537825650.41848,827.2
1537825650.43786,825.9
1537825650.47273,824.3
1537825650.48861,825.6
1537825650.50406,824.8
1537825650.51946,819.6
1537825650.53479,818.1
1537825650.55024,816.6
1537826250.8684,815.7
1537826250.88617,812
1537826250.9033,807.7
1537826250.92156,804.1
1537826250.9393,805.7
1537826250.95578,805.5
1537826250.97289,805.4
1537826250.99323,798.3
1537826251.0131,797.9
1537826251.03284,794.8
1537826850.5548,793.8
1537826850.60975,792
1537826850.63136,789.4
1537826850.64917,786.2
1537826850.66659,784
1537826850.68231,781.8
1537826850.69772,779.3
1537826850.71312,777.9
1537826850.72897,774.9
1537826850.75958,772.8
1537827452.67605,767.7
1537827452.76226,766.8
1537827452.79412,767.3
1537827452.8265,765.1
1537827452.85622,761.3
1537827452.89455,763
1537827452.9136,761.1
1537827452.9324,758.5
1537827452.94874,759.4
1537827452.96459,755
1537828053.63537,754.8
1537828053.71701,755.5
1537828053.74572,752
1537828053.77289,754.5
1537828053.80115,751.8
1537828053.82303,749.5
1537828053.83958,749.3
1537828053.85669,746.8
1537828053.87218,748.2
1537828053.8896,747.3
1537828653.44991,744.1
1537828653.47348,745.7
1537828653.49597,742.8
1537828653.51185,741.3
1537828653.52786,740
1537828653.54309,741.7
1537828653.55825,738.8
1537828653.57344,741.5
1537828653.59089,737.7
1537828653.60614,738.2
1537829255.12848,738.6
1537829255.15047,733.3
1537829255.17207,736
1537829255.19175,731.5
1537829255.2108,734.6
1537829255.22978,729.4
1537829255.24823,723.9
1537829255.26459,724.9
1537829255.28103,724.4
1537829255.29722,722.7
1537829854.59647,720.1
1537829854.62204,718.1
1537829854.64211,718.4
1537829854.66055,716.7
1537829854.67879,714.7
1537829854.69819,712
1537829854.71759,712.7
1537829854.73691,707.9
1537829854.75991,714.1
1537829854.77926,708.1
1537830455.15943,706.5
1537830455.20058,707.3
1537830455.22768,702.7
1537830455.2519,701.2
1537830455.27604,700.1
1537830455.30015,699.8
1537830455.31849,701.4
1537830455.33539,697.3
1537830455.35212,696.9
1537830455.36709,698.8
1537831054.84608,698
1537831054.94713,698.6
1537831055.012,697
1537831055.03386,695.4
1537831055.05262,700.6
1537831055.07069,696.1
1537831055.08876,695.8
1537831055.10658,688.7
1537831055.12431,689.3
1537831055.14208,692.1
1537831654.3932,691.2
1537831654.47501,688.4
1537831654.49868,689.7
1537831654.51995,688.6
1537831654.53597,690
1537831654.55458,691.7
1537831654.57003,692.2
1537831654.58554,692.1
1537831654.60079,689.1
1537831654.61592,687.3
1537832256.80008,687.3
1537832256.88047,686.1
1537832256.91249,683.7
1537832256.94258,681.9
1537832256.96949,678
1537832256.98878,675.1
1537832257.00602,678
1537832257.02268,676.7
1537832257.03941,673.7
1537832257.05862,676.4
1537832856.80348,674.7
1537832856.82454,671.7
1537832856.84404,675.4
1537832856.86757,677.2
1537832856.88957,674.2
1537832856.90941,676.9
1537832856.92918,676
1537832856.94851,674.2
1537832856.96577,674.1
1537832856.98584,674.7
1537833461.37804,673
1537833461.3998,671.1
1537833461.45213,669.7
1537833461.46952,669.1
1537833461.48624,668.7
1537833461.50205,669.7
1537833461.52122,669.4
1537833461.53691,672.3
1537833461.55235,673.4
1537833461.5685,675.3
1537834061.88874,674.9
1537834061.9667,677
1537834061.99594,678.6
1537834062.02274,681
1537834062.04781,677.6
1537834062.07211,678.8
1537834062.08963,677.5
1537834062.1054,679.4
1537834062.12093,678.6
1537834062.13625,679.4
1537834662.44723,679.4
1537834662.50521,677
1537834662.52396,674.9
1537834662.54344,678
1537834662.55999,676.7
1537834662.57566,679.6
1537834662.59219,678.8
1537834662.60793,678.4
1537834662.62317,679.2
1537834662.63832,678.8
1537835262.27707,677.4
1537835262.30334,679.1
1537835262.33232,677.7
1537835262.3492,676.4
1537835262.36506,674
1537835262.38062,676
1537835262.39773,676.1
1537835262.4136,675.8
1537835262.42907,674.2
1537835262.44484,674.6
1537835862.58107,676.6
1537835862.6535,677.7
1537835862.67762,674.6
1537835862.70043,679.7
1537835862.72386,678.3
1537835862.74258,680.2
1537835862.75963,676.4
1537835862.77584,672
1537835862.7914,675.8
1537835862.80703,680.4
1537836462.77473,681.8
1537836462.79647,682.4
1537836462.81826,676
1537836462.83909,680.3
1537836462.85721,684.1
1537836462.8736,683.7
1537836462.8905,686.4
1537836462.9062,684
1537836462.92165,685.8
1537836462.93715,691
1537837064.64423,687.8
1537837064.66306,688.3
1537837064.67978,690.8
1537837064.69851,693.2
1537837064.71509,694.3
1537837064.73158,696.3
1537837064.7471,694.7
1537837064.76272,697.4
1537837064.78184,696.8
1537837064.80124,697.6
1537837665.31016,698.9
1537837665.38611,697.3
1537837665.4124,699.5
1537837665.43466,699.9
1537837665.47115,701.9
1537837665.48696,708.5
1537837665.5023,706.3
1537837665.51744,707.1
1537837665.53262,706
1537837665.54772,709.5
1537838267.61032,716.2
1537838267.69054,714.2
1537838267.71416,711.8
1537838267.7301,714.6
1537838267.74663,717
1537838267.76954,718.5
1537838267.78557,718.3
1537838267.80114,717.9
1537838267.81666,722.1
1537838267.83221,723
1537838867.51825,725.4
1537838867.58413,726.5
1537838867.60418,725.4
1537838867.62499,726.6
1537838867.64333,730.6
1537838867.65904,729.6
1537838867.67425,732.7
1537838867.68984,732.7
1537838867.70641,735
1537838867.72892,736
1537839467.15012,736.3
1537839467.21262,736.7
1537839467.23424,739.9
1537839467.25369,740.2
1537839467.27442,740.5
1537839467.2937,740.9
1537839467.31298,739.9
1537839467.33075,744.8
1537839467.34572,746.1
1537839467.36128,746.2
1537840066.48218,746.2
1537840066.49996,750.7
1537840066.51714,751.2
1537840066.5349,752.4
1537840066.55474,753.4
1537840066.57202,751.6
1537840066.58857,752.8
1537840066.60405,755.7
1537840066.61918,756
1537840066.63439,758.6
1537840668.25087,755.8
1537840668.27049,767.8
1537840668.28978,759.2
1537840668.30945,761.3
1537840668.33042,757.2
1537840668.34713,760.8
1537840668.36588,759.1
1537840668.38468,763.5
1537840668.42205,764.3
1537840668.44074,764.6
1537841269.41314,767.4
1537841269.44833,769.8
1537841269.48179,772.4
1537841269.51162,773.6
1537841269.54287,773.8
1537841269.57533,774.2
1537841269.59652,777.3
1537841269.61565,780.2
1537841269.63474,776.6
1537841269.65379,777.3
1537841869.61634,777.7
1537841869.70152,778.2
1537841869.76011,783.6
1537841869.78133,783.2
1537841869.8005,786.4
1537841869.81962,786.8
1537841869.83869,789.2
1537841869.85764,793.8
1537841869.87654,796
1537841869.89544,796.2
1537842469.6047,801.2
1537842469.65713,802.4
1537842469.67697,805.2
1537842469.69693,808.3
1537842469.7162,809.6
1537842469.7365,810.1
1537842469.75447,812.5
1537842469.77028,812.5
1537842469.78625,817.7
1537842469.80648,819
1537843071.09704,822
1537843071.21833,824.2
1537843071.23574,826.1
1537843071.25121,827.7
1537843071.26825,826.4
1537843071.28409,831.7
1537843071.29938,833
1537843071.31632,835.3
1537843071.33353,838
1537843071.35167,839.9
1537843672.18216,842.7
1537843672.20612,842.6
1537843672.22786,846.5
1537843672.24761,847.6
1537843672.26911,849.7
1537843672.28485,856.4
1537843672.30028,854.9
1537843672.31561,858.8
1537843672.33099,858.3
1537843672.34635,857.8
1537844276.05689,858.5
1537844276.07558,862.4
1537844276.09226,864.2
1537844276.10947,867.2
1537844276.12597,866.6
1537844276.14168,866.1
1537844276.15875,869.5
1537844276.1746,871.7
1537844276.19027,874.1
1537844276.20564,876.1
1537844875.83174,879.5
1537844875.89878,881.8
1537844875.92159,883
1537844875.94585,885.9
1537844875.96192,885.2
1537844875.97521,888.2
1537844875.9885,890.8
1537844876.00198,893.8
1537844876.01735,896
1537844876.03294,895.2
1537845475.48474,899.3
1537845475.52817,902
1537845475.54493,904.5
1537845475.55916,909.4
1537845475.57301,905.7
1537845475.58669,908.7
1537845475.60048,909.7
1537845475.61605,915.7
1537845475.63005,919
1537845475.64606,918.6
1537846077.68351,922.4
1537846077.70023,921.6
1537846077.71473,926.3
1537846077.73038,929
1537846077.74492,927.7
1537846077.77254,932.8
1537846077.78606,932.9
1537846077.79958,940.5
1537846077.81623,943.3
1537846077.83184,941.6
1537846679.50403,943.5
1537846679.51904,941.3
1537846679.53325,948.7
1537846679.54776,951.1
1537846679.56126,949.8
1537846679.57476,950.9
1537846679.58835,951.2
1537846679.60193,952.3
1537846679.61536,954.5
1537846679.6288,954.5
1537847284.46282,955.1
1537847284.50299,957.1
1537847284.54128,960.8
1537847284.56166,963.4
1537847284.61652,963.6
1537847284.63588,962.5
1537847284.65531,964.9
1537847284.67468,968.6
1537847284.69424,971
1537847284.71354,972.3
1537847880.67058,971.4
1537847880.68958,969.9
1537847880.7094,970.3
1537847880.72927,974.3
1537847880.74891,980.9
1537847880.76844,978.4
1537847880.78815,980.5
1537847880.80782,980.8
1537847880.82801,980.2
1537847880.84762,984.4
1537848481.45941,987.2
1537848481.56407,990.7
1537848481.59132,987.9
1537848481.61558,992.5
1537848481.63569,1013.7
1537848481.65112,994.6
1537848481.6666,998.6
1537848481.68203,998.4
1537848481.69739,999.7
1537848481.71276,1003.4
1537849083.4517,1003.9
1537849083.50559,1006.4
1537849083.52861,1008.1
1537849083.5494,1011.5
1537849083.56708,1012.5
1537849083.58274,1014.7
1537849083.59817,1016.9
1537849083.61338,1018.8
1537849083.62861,1020
1537849083.64381,1022.6
1537849684.01503,1025.7
1537849684.03426,1025
1537849684.04953,1027.1
1537849684.06469,1028.8
1537849684.08001,1030.8
1537849684.09501,1033.7
1537849684.11006,1034.6
1537849684.12526,1035.5
1537849684.14266,1034.7
1537849684.15785,1035.9
1537850285.18881,1039.1
1537850285.27934,1043.4
1537850285.33539,1044.7
1537850285.36064,1044.2
1537850285.38277,1045.1
1537850285.41561,1047.2
1537850285.43171,1050.5
1537850285.44719,1051
1537850285.46231,1053.2
1537850285.47745,1054.2
1537850886.34007,1053.6
1537850886.35992,1057.7
1537850886.37974,1058
1537850886.40011,1096.3
1537850886.41872,1061.4
1537850886.43452,1062.3
1537850886.45018,1066
1537850886.46612,1065.6
1537850886.48428,1070.2
1537850886.50005,1070.9
1537851486.60288,1071.7
1537851486.62306,1076
1537851486.66094,1077
1537851486.68099,1079.2
1537851486.69983,1080.4
1537851486.72238,1079.3
1537851486.73831,1082.2
1537851486.75389,1083.8
1537851486.76946,1085.1
1537851486.7851,1086.9
1537852087.25085,1087.2
1537852087.33508,1089.7
1537852087.39018,1090.5
1537852087.41685,1092.4
1537852087.44326,1099.2
1537852087.46949,1098.5
1537852087.48899,1098.7
1537852087.50649,1101.2
1537852087.52395,1101.6
1537852087.54028,1104.8
1537852688.28781,1109
1537852688.3672,1110.8
1537852688.38368,1112.6
1537852688.39967,1112
1537852688.4149,1113.2
1537852688.44613,1115.3
1537852688.4614,1117.5
1537852688.47656,1120.3
1537852688.49194,1120.7
1537852688.50702,1123
1537853287.59077,1123.8
1537853287.65622,1123.1
1537853287.68126,1124.7
1537853287.77161,1127.2
1537853287.78711,1129.9
1537853287.80264,1132.5
1537853287.81786,1134.3
1537853287.83305,1137.2
1537853287.84824,1138.4
1537853287.86349,1138.8
1537853890.95618,1140.2
1537853891.0362,1141.9
1537853891.06133,1142.5
1537853891.08509,1144.1
1537853891.10753,1144.5
1537853891.13751,1146.3
1537853891.15908,1145.3
1537853891.18177,1146.1
1537853891.20083,1146.5
1537853891.2198,1145.5
1537854486.97647,1147.2
1537854486.99853,1149.1
1537854487.01729,1150.3
1537854487.05645,1151.3
1537854487.07572,1151.3
1537854487.09531,1151.2
1537854487.11459,1150.9
1537854487.13375,1151.8
1537854487.15299,1152.9
1537854487.17216,1153.7
1537855087.49649,1153.2
1537855087.52104,1153
1537855087.54142,1153.6
1537855087.56202,1153.5
1537855087.58064,1154.9
1537855087.59753,1155
1537855087.61437,1155.7
1537855087.63416,1156
1537855087.651,1156.3
1537855087.66705,1155.7
1537855687.56981,1156.6
1537855687.63887,1157
1537855687.6633,1156.9
1537855687.68794,1157.3
1537855687.71123,1158.2
