time,d2w,d2w_range,d2w_ROC,d2w_spike,d2w_FlatLine,label
2018-12-15 16:10:00,1122.03,1,2,1,1,1
2018-12-15 16:15:00,1126.68,1,1,1,1,1
2018-12-15 16:20:00,1121.01,1,1,1,1,1
2018-12-15 16:25:00,1123.1554166666665,1,1,1,1,1
2018-12-15 16:30:00,1113.1660000000004,1,1,1,1,1
2018-12-15 16:35:00,1113.1908333333329,1,1,1,1,1
2018-12-15 16:40:00,1113.7120000000002,1,1,1,1,1
2018-12-15 16:45:00,1099.9883333333332,1,1,1,1,1
2018-12-15 16:50:00,1104.6160000000002,1,1,1,1,1
2018-12-15 16:55:00,1107.4499999999996,1,1,1,1,1
2018-12-15 17:00:00,1099.8520000000003,1,1,1,1,1
2018-12-15 17:05:00,1095.3865217391303,1,1,1,1,1
2018-12-15 17:10:00,1104.4280000000006,1,1,1,1,1
2018-12-15 17:15:00,1092.0300000000002,1,1,1,1,1
2018-12-15 17:20:00,1099.8359999999998,1,1,1,1,1
2018-12-15 17:25:00,1097.05625,1,1,1,1,1
2018-12-15 17:30:00,1091.4347826086953,1,1,1,1,1
2018-12-15 17:35:00,1091.1700000000003,1,1,1,1,1
2018-12-15 17:40:00,1082.823103448276,1,1,1,1,1
2018-12-15 17:45:00,1094.7319999999997,1,1,1,1,1
2018-12-15 17:50:00,1093.2616666666672,1,1,1,1,1
2018-12-15 17:55:00,1084.1416666666664,1,1,1,1,1
2018-12-15 18:00:00,1098.7699999999998,1,1,1,1,1
2018-12-15 18:05:00,1103.6720833333334,1,1,1,1,1
2018-12-15 18:10:00,1096.0860000000002,1,1,1,1,1
2018-12-15 18:15:00,1092.4640000000004,1,1,1,1,1
2018-12-15 18:20:00,1093.11875,1,1,1,1,1
2018-12-15 18:25:00,1094.5199999999998,1,1,1,1,1
2018-12-15 18:30:00,1092.7519999999997,1,1,1,1,1
2018-12-15 18:35:00,1088.932,1,1,1,1,1
2018-12-15 18:40:00,1093.274,1,1,1,1,1
2018-12-15 18:45:00,1099.2175,1,1,1,1,1
2018-12-15 18:50:00,1112.746,1,1,1,1,1
2018-12-15 18:55:00,1091.3112500000002,1,1,1,1,1
2018-12-15 19:00:00,1095.1220833333334,1,1,1,1,1
2018-12-15 19:05:00,1095.3105263157897,1,1,1,1,1
2018-12-15 19:10:00,1102.5778260869563,1,1,1,1,1
2018-12-15 19:15:00,1103.3029166666663,1,1,1,1,1
2018-12-15 19:20:00,1103.5458333333333,1,1,1,1,1
2018-12-15 19:25:00,1123.8095833333334,1,1,1,1,1
2018-12-15 19:30:00,1126.3625000000004,1,1,1,1,1
2018-12-15 19:35:00,1118.4654166666667,1,1,1,1,1
2018-12-15 19:40:00,1135.6465217391305,1,1,1,1,1
2018-12-15 19:45:00,1129.0640000000005,1,1,1,1,1
2018-12-15 19:50:00,1133.332,1,1,1,1,1
2018-12-15 19:55:00,1136.2699999999995,1,1,1,1,1
2018-12-15 20:00:00,1148.7312499999996,1,1,1,1,1
2018-12-15 20:05:00,1143.6508333333334,1,1,1,1,1
2018-12-15 20:10:00,1159.3783333333329,1,1,1,1,1
2018-12-15 20:15:00,1152.9180000000001,1,1,1,1,1
2018-12-15 20:20:00,1152.998,1,1,1,1,1
2018-12-15 20:25:00,1159.8620000000005,1,1,1,1,1
2018-12-15 20:30:00,1180.1420000000005,1,1,1,1,1
2018-12-15 20:35:00,1176.82,1,1,1,1,1
2018-12-15 20:40:00,1196.6440000000005,1,1,1,1,1
2018-12-15 20:45:00,1173.8259999999998,1,1,1,1,1
2018-12-15 20:50:00,1190.6740000000002,1,1,1,1,1
2018-12-15 20:55:00,1183.6699999999996,1,1,1,1,1
2018-12-15 21:00:00,1181.062,1,1,1,1,1
2018-12-15 21:05:00,1184.52,1,1,1,1,1
2018-12-15 21:10:00,1182.8180000000002,1,1,1,1,1
2018-12-15 21:15:00,1209.4779166666665,1,3,1,1,1
2018-12-15 21:20:00,1222.3777272727268,1,1,1,1,1
2018-12-15 21:25:00,1231.2785714285715,1,1,1,1,1
2018-12-15 21:30:00,1233.4776190476198,1,1,1,1,1
